,url,title,authorname,avg_rating,num_rat,num_rev,total_pages,ori_year,places,series,awards,genre3
500,https://www.goodreads.com//book/show/68455.Wie_a_Jask_ki,Wieża Jaskółki,Andrzej Sapkowski,4.26,"54,221","2,218",428,2001,,1,Paszporty Polityki (1997),"['Fantasy', 'Fiction', 'European Literature']"
501,https://www.goodreads.com//book/show/10425098-escaping-destiny,Escaping Destiny,Jeffrey Pierce,4.03,145,27,254,2011,,1,,"['Fantasy', 'Fantasy', 'Paranormal']"
502,https://www.goodreads.com//book/show/40941582,گم شده ای در مه,سید مرتضی مصطفوی,4.03,897,225,82,2016,,0,,"['Fiction', 'Philosophy', 'Spirituality']"
503,https://www.goodreads.com//book/show/17163514-the-rose-and-the-thorn,The Rose and the Thorn,Michael J. Sullivan,4.40,"22,055","1,021",347,2013,,1,,"['Fantasy', 'Fiction', 'Fantasy']"
504,https://www.goodreads.com//book/show/55876726-winterhorn,Winterhorn,Baiculescu Ovidiu Nicolae,4.94,17,9,371,2020,,0,,[]
505,https://www.goodreads.com//book/show/16075834-tribesman,Tribesman,Paul Freeman,3.89,149,26,196,2012,,1,,['Fantasy']
506,https://www.goodreads.com//book/show/23154350-the-last-dragon-slayer,The Last Dragon Slayer,Martyn Stanley,3.68,445,110,290,2014,,1,,"['Fantasy', 'Fantasy', 'Dragons']"
507,https://www.goodreads.com//book/show/526071.The_First_Chronicles_of_Druss_the_Legend,The First Chronicles of Druss the Legend,David Gemmell,4.34,"10,654",210,334,1999,,1,,"['Fantasy', 'Fiction', 'Fantasy']"
508,https://www.goodreads.com//book/show/43700522-otuna-s-flute,Otuna's Flute,Maricar Banguis,5.00,30,2,206,2019,,0,,[]
509,https://www.goodreads.com//book/show/11447962-the-rootless,The Rootless,Angelo Tsanatelis,4.31,32,3,0,2011,,0,,"['Fantasy', 'Dark Fantasy', 'Fantasy']"
510,https://www.goodreads.com//book/show/338329.Three_Hearts_and_Three_Lions,Three Hearts and Three Lions,Poul Anderson,3.87,"4,160",304,177,2003,,1,Retro Hugo Award Nominee for Best Novella (2004),"['Fantasy', 'Fiction', 'Science Fiction']"
511,https://www.goodreads.com//book/show/33225153-wandfasted,Wandfasted,Laurie Forest,4.25,"3,431",326,235,2017,,1,,"['Fantasy', 'Romance', 'Young Adult']"
512,https://www.goodreads.com//book/show/58889.Sandry_s_Book,Sandry's Book,Tamora Pierce,3.97,"43,737","1,145",252,2006,Emelan,1,"Mythopoeic Fantasy Award Nominee for Children's Literature (2000), Judy Lopez Memorial Award for Children's Literature Nominee (1998)","['Fantasy', 'Young Adult', 'Fiction']"
513,https://www.goodreads.com//book/show/92408.Shardik,Shardik,Richard Adams,3.50,"3,900",295,604,2004,Beklan Empire,1,,"['Fantasy', 'Fiction', 'Animals']"
514,https://www.goodreads.com//book/show/28762288-pseudo-dragon,Pseudo-Dragon,Cheryl Matthynssens,4.39,141,16,670,2016,,1,,['Fantasy']
515,https://www.goodreads.com//book/show/56581167-stavros,Stavros,Juddy Anderson C. Punzalan,4.32,41,16,38,2021,,0,,[]
516,https://www.goodreads.com//book/show/43917.Rise_of_a_Merchant_Prince,Rise of a Merchant Prince,Raymond E. Feist,4.06,"26,761",248,479,1996,,1,,"['Fantasy', 'Fiction', 'Fantasy']"
517,https://www.goodreads.com//book/show/59219.The_Talisman,The Talisman,Stephen King,4.13,"110,505","3,552",656,2001,,1,"Locus Award Nominee for Best Fantasy Novel (1985), World Fantasy Award Nominee for Best Novel (1985), Audie Award for Fiction, Unabridged (2002)","['Horror', 'Fantasy', 'Fiction']"
518,https://www.goodreads.com//book/show/10803121-the-alloy-of-law,The Alloy of Law,Brandon Sanderson,4.20,"147,683","8,599",332,2011,,1,"Geffen Award for Best Translated Fantasy Book (2019), David Gemmell Legend Award Nominee for Best Fantasy Novel (2012), Goodreads Choice Award Nominee for Fantasy (2011)","['Fantasy', 'Fiction', 'Science Fiction']"
519,https://www.goodreads.com//book/show/19298.The_Swords_of_Night_and_Day,The Swords of Night and Day,David Gemmell,4.32,"8,265",139,640,2005,,1,,"['Fantasy', 'Fiction', 'Fantasy']"
520,https://www.goodreads.com//book/show/23491735-sword-of-shadows,Sword of Shadows,C.N. Lesley,4.49,82,42,376,2014,,1,,['Fantasy']
521,https://www.goodreads.com//book/show/399345.The_Chronicles_of_Corum,The Chronicles of Corum,Michael Moorcock,4.04,"1,631",26,382,1987,,1,,"['Fantasy', 'Fiction', 'Heroic Fantasy']"
522,https://www.goodreads.com//book/show/186182.Kull,Kull: Exile of Atlantis,Robert E. Howard,3.98,"2,630",148,352,2006,Valusia,1,,"['Fantasy', 'Heroic Fantasy', 'Sword and Sorcery']"
523,https://www.goodreads.com//book/show/18044158-the-one,The One,J.K. Accinni,4.45,257,48,2013,,,1,,"['Science Fiction', 'Fantasy', 'Science Fiction']"
524,https://www.goodreads.com//book/show/317497.The_Misenchanted_Sword,The Misenchanted Sword,Lawrence Watt-Evans,4.03,"3,376",131,228,2000,,1,,"['Fantasy', 'Fiction', 'Humor']"
525,https://www.goodreads.com//book/show/7114825-cold-magic,Cold Magic,Kate Elliott,3.72,"8,741","1,075",528,2010,,1,DABWAHA Romance Tournament for Best Novel with Romantic Elements/Crossover (2011),"['Fantasy', 'Science Fiction', 'Steampunk']"
526,https://www.goodreads.com//book/show/239105.The_Silent_Blade,The Silent Blade,R.A. Salvatore,4.12,"18,979",209,394,1998,,1,,"['Fantasy', 'Dungeons and Dragons', 'Forgotten Realms']"
527,https://www.goodreads.com//book/show/1021251.The_Birthgrave,The Birthgrave,Tanith Lee,3.76,"1,496",134,408,1975,,1,Nebula Award Nominee for Best Novel (1975),"['Fantasy', 'Fiction', 'Science Fiction']"
528,https://www.goodreads.com//book/show/492069.M_lusine,Mélusine,Sarah Monette,3.64,"4,072",395,477,2006,,1,"Locus Award Nominee for Best First Novel (2006), James Tiptree Jr. Award Nominee for Longlist (2005)","['Fantasy', 'LGBT', 'Fiction']"
529,https://www.goodreads.com//book/show/49021976-rhythm-of-war,Rhythm of War,Brandon Sanderson,4.64,"45,572","4,768",1232,2020,,1,"Goodreads Choice Award Nominee for Fantasy (2020), BookNest Award for Best Traditionally Published Novel (2020)","['Fantasy', 'Fiction', 'Fantasy']"
530,https://www.goodreads.com//book/show/12432220-the-false-prince,The False Prince,Jennifer A. Nielsen,4.18,"82,576","9,485",342,2012,,1,"Utah Book Award for Young Adult Literature (2014), Pennsylvania Young Readers' Choice Award Nominee for Grades 6-8 (2014), Rhode Island Teen Book Award Nominee (2014), Dorothy Canfield Fisher Children's Book Award Nominee (2014), California Young Readers Medal for Middle School/Junior High (2015) ...more","['Fantasy', 'Young Adult', 'Childrens']"
531,https://www.goodreads.com//book/show/11774272-the-killing-moon,The Killing Moon,N.K. Jemisin,3.93,"14,484","1,731",418,2012,,1,"Nebula Award Nominee for Best Novel (2012), Locus Award Nominee for Best Fantasy Novel (2013), World Fantasy Award Nominee for Best Novel (2013), Goodreads Choice Award Nominee for Fantasy (2012)","['Fantasy', 'Fiction', 'Fantasy']"
532,https://www.goodreads.com//book/show/14781491-the-time-of-contempt,The Time of Contempt,Andrzej Sapkowski,4.19,"79,355","3,402",331,2013,,1,,"['Fantasy', 'Fiction', 'Audiobook']"
533,https://www.goodreads.com//book/show/15566.The_Elf_Queen_of_Shannara,The Elf Queen of Shannara,Terry Brooks,4.04,"29,800",276,416,1998,,1,,"['Fantasy', 'Fiction', 'Fantasy']"
534,https://www.goodreads.com//book/show/47212.Storm_Front,Storm Front,Jim Butcher,3.99,"309,313","17,058",355,2000,"Chicago, Illinois (United States)",1,Compton Crook Award Nominee (2001),"['Fantasy', 'Fantasy', 'Urban Fantasy']"
535,https://www.goodreads.com//book/show/24094.Wolf_Speaker,Wolf-Speaker,Tamora Pierce,4.14,"58,497","1,041",344,2005,Tortall,1,,"['Fantasy', 'Young Adult', 'Fiction']"
536,https://www.goodreads.com//book/show/77161.Grass_for_His_Pillow,Grass for His Pillow,Lian Hearn,4.03,"22,602",681,344,2004,Japan,1,,"['Fantasy', 'Fiction', 'Historical']"
537,https://www.goodreads.com//book/show/3274660-tempus-with-his-right-side-companion-niko,Tempus with his right-side companion Niko,Janet E. Morris,4.14,240,15,277,1987,,1,,"['Fantasy', 'Fiction', 'Short Stories']"
538,https://www.goodreads.com//book/show/13834.The_Realms_of_the_Gods,The Realms of the Gods,Tamora Pierce,4.31,"52,894","1,027",347,2006,,1,,"['Fantasy', 'Young Adult', 'Science Fiction Fantasy']"
539,https://www.goodreads.com//book/show/5093.Song_of_Susannah,Song of Susannah,Stephen King,3.97,"141,126","3,941",544,2006,,1,Locus Award Nominee for Best Fantasy Novel (2005),"['Fantasy', 'Fiction', 'Horror']"
540,https://www.goodreads.com//book/show/27411345-wrath,Wrath,John Gwynne,4.49,"8,550",965,720,2016,,1,"David Gemmell Legend Award Nominee for Best Fantasy Novel (2017), David Gemmell Ravenheart Award Nominee for Best Fantasy Cover Art (2017), BookNest Award for Best Traditionally Published Novel (2017)","['Fantasy', 'Fantasy', 'Epic Fantasy']"
541,https://www.goodreads.com//book/show/393145.The_Riddle,The Riddle,Alison Croggon,4.11,"20,809",616,490,2006,,1,,"['Fantasy', 'Young Adult', 'Fiction']"
542,https://www.goodreads.com//book/show/974209.The_Misplaced_Legion,The Misplaced Legion,Harry Turtledove,3.91,"1,709",57,323,1987,,1,,"['Fantasy', 'Science Fiction', 'Alternate History']"
543,https://www.goodreads.com//book/show/40651803-valor,Valor,John Gwynne,4.39,"12,499","1,055",680,2014,,1,David Gemmell Legend Award Nominee for Best Fantasy Novel (2015),"['Fantasy', 'Fantasy', 'Epic Fantasy']"
544,https://www.goodreads.com//book/show/585576.Tales_From_the_Vulgar_Unicorn,Tales From the Vulgar Unicorn,Robert Lynn Asprin,3.86,"3,202",66,299,1991,,1,"Locus Award Nominee for Best Anthology (1981), Balrog Award Nominee for Best Collection/Anthology (1981)","['Fantasy', 'Fiction', 'Anthologies']"
545,https://www.goodreads.com//book/show/34517.Reaper_Man,Reaper Man,Terry Pratchett,4.25,"88,651","2,830",352,2005,Discworld,1,,"['Fantasy', 'Fiction', 'Humor']"
546,https://www.goodreads.com//book/show/5659537-naamah-s-kiss,Naamah's Kiss,Jacqueline Carey,4.11,"13,507",668,645,2009,,1,Gaylactic Spectrum Award Nominee for Best Novel (2010),"['Fantasy', 'Romance', 'Fiction']"
547,https://www.goodreads.com//book/show/140225.The_Voyage_of_the_Dawn_Treader,The Voyage of the Dawn Treader,C.S. Lewis,4.08,"411,394","7,414",248,2006,,1,,"['Fantasy', 'Fiction', 'Classics']"
548,https://www.goodreads.com//book/show/25781.The_Iron_Dragon_s_Daughter,The Iron Dragon's Daughter,Michael Swanwick,3.68,"3,557",302,424,2012,,1,"Arthur C. Clarke Award Nominee (1994), World Fantasy Award Nominee for Best Novel (1994)","['Fantasy', 'Fiction', 'Science Fiction']"
